Job Post ID,Hours Per Week,Currency,Salary Frequency,Salary Description,Minimum Salary,Maximum Salary,Annualised Minimum Salary in KYD,Annualised Maximum Salary in KYD,Mean Annual Salary in KYD
P3Y3J3,45,USD,Bi-Monthly,"USD$40,014 - USD$44,998.2 Per Annum (paid Bi-Monthly)",40014,44998.2,33345,37498.5,35421.75
P4Y6F4,45,USD,Bi-Weekly,"USD$75,000 - USD$83,000 Per Annum (paid Bi-Weekly)",75000,83000,62500,69166.67,65833.33
P5F8X4,45,USD,Bi-Weekly,"USD$14,040 - USD$18,720 Per Annum (paid Bi-Weekly) + gratuities",14040,18720,11700,15600,13650
P5Q8W8,40,KYD,Bi-Weekly,KYD$10 - KYD$14 Per Hour (paid Bi-Weekly),20800,29120,20800,29120,24960
P6E2K2,45,KYD,Bi-Monthly,KYD$6 - KYD$8 Per Hour (paid Bi-Monthly),14040,18720,14040,18720,16380
P7E7T3,45,KYD,Per Month,"KYD$26,000 - KYD$36,400 Per Annum (paid Monthly)",26000,36400,26000,36400,31200
P7Q7A4,45,KYD,Per Week,KYD$292.5 - KYD$315 Weekly,15210,16380,15210,16380,15795
P8X3X7,40,KYD,Per Hour,KYD$6 - KYD$8 Per Hour (paid Per Hour),12480,16640,12480,16640,14560
Q2N8K2,45,KYD,Bi-Weekly,"KYD$900 - KYD$1,530 Bi-Weekly (paid Bi-Weekly)",23400,39780,23400,39780,31590
Q3G3G3,45,KYD,Per Month,"KYD$32,760 Per Annum (paid Monthly)",32760,32760,32760,32760,32760
Q3K5M7,45,KYD,Per Week,"KYD$14,976 - KYD$15,600 Per Annum (paid Weekly)",14976,15600,14976,15600,15288
Q3W5Y6,35,KYD,Bi-Monthly,"KYD$10,920 - KYD$16,380 Per Annum (paid Bi-Monthly)",10920,16380,10920,16380,13650
Q5A8X2,40,KYD,Bi-Monthly,KYD$693.33 - KYD$866.67 Bi-Monthly (paid Bi-Monthly),16640,20800,16640,20800,18720
Q7S7X8,45,KYD,Bi-Weekly,KYD$900 Bi-Weekly (paid Bi-Weekly),23400,23400,23400,23400,23400
Q8K5J5,45,KYD,Bi-Weekly,"KYD$900 - KYD$2,692.31 Bi-Weekly (paid Bi-Weekly)",23400,70000.06,23400,70000.06,46700.03
R2Y2C7,45,KYD,Bi-Weekly,KYD$7 - KYD$10 Per Hour (paid Bi-Weekly),16380,23400,16380,23400,19890
R3E8R2,45,KYD,Per Month,"KYD$16,380 Per Annum (paid Monthly)",16380,16380,16380,16380,16380
R6K5C5,44,KYD,Bi-Weekly,"KYD$27,456 - KYD$32,032 Per Annum (paid Bi-Weekly)",27456,32032,27456,32032,29744
R6Y4V2,45,KYD,Per Month,"KYD$150,000 - KYD$208,000 Per Annum (paid Monthly)",150000,208000,150000,208000,179000
R7D6Q6,45,KYD,Per Week,KYD$10.8 - KYD$14.87 Per Hour (paid Weekly),25272,34795.8,25272,34795.8,30033.9
S2R5Y8,45,KYD,Per Month,"KYD$37,440 Per Annum (paid Monthly)",37440,37440,37440,37440,37440
S2T4U8,40,KYD,Per Hour,KYD$6 - KYD$8 Per Hour (paid Per Hour),12480,16640,12480,16640,14560
S6X5Y2,45,KYD,Bi-Weekly,KYD$6 - KYD$7 Per Hour (paid Bi-Weekly) + gratuities,14040,16380,14040,16380,15210
S7J2H4,37.5,USD,Per Month,"USD$150,000 - USD$175,000 Per Annum (paid Monthly)",150000,175000,125000,145833.33,135416.67
S7K6D2,45,KYD,Per Week,KYD$765 - KYD$990 Weekly,39780,51480,39780,51480,45630
S8M7R2,45,KYD,Per Week,"KYD$18,720 - KYD$42,120 Per Annum (paid Weekly)",18720,42120,18720,42120,30420
T2V4U5,45,KYD,Bi-Weekly,"KYD$14,040 - KYD$23,400 Per Annum (paid Bi-Weekly)",14040,23400,14040,23400,18720
T6K3G4,45,KYD,Per Week,KYD$375.3 - KYD$400.05 Weekly  + gratuities,19515.6,20802.6,19515.6,20802.6,20159.1
T8U4A3,45,KYD,Bi-Weekly,KYD$10 - KYD$15 Per Hour (paid Bi-Weekly),23400,35100,23400,35100,29250
U4F8G3,45,KYD,Per Hour,KYD$10 - KYD$12 Per Hour (paid Per Hour),23400,28080,23400,28080,25740
U4W2V2,45,KYD,Per Month,"KYD$28,080 Per Annum (paid Monthly)",28080,28080,28080,28080,28080
U5E2A8,45,KYD,Per Week,KYD$10.25 - KYD$14.11 Per Hour (paid Weekly),23985,33017.4,23985,33017.4,28501.2
U6C5V5,45,KYD,Per Month,"KYD$4,290 - KYD$5,850 Monthly",51480,70200,51480,70200,60840
U6H7U3,45,KYD,Bi-Monthly,KYD$6 - KYD$8 Per Hour (paid Bi-Monthly),14040,18720,14040,18720,16380
U6Q8M3,45,KYD,Per Hour,KYD$10 - KYD$12 Per Hour (paid Per Hour),23400,28080,23400,28080,25740
U6Y5W7,45,KYD,Per Month,"KYD$1,500 - KYD$2,000 Monthly",18000,24000,18000,24000,21000
U8K5N7,45,KYD,Per Week,KYD$11.85 - KYD$16.31 Per Hour (paid Weekly),27729,38165.4,27729,38165.4,32947.2
U8R8J8,40,USD,Per Month,"USD$80,000 - USD$120,000 Per Annum (paid Monthly)",80000,120000,66666.67,100000,83333.33
V3G6V2,40,KYD,Bi-Monthly,"KYD$1,040 Bi-Monthly (paid Bi-Monthly)",24960,24960,24960,24960,24960
V5R8E7,45,KYD,Bi-Monthly,"KYD$1,500 - KYD$1,800 Bi-Monthly (paid Bi-Monthly)",36000,43200,36000,43200,39600
V6E4S8,40,USD,Per Month,"USD$114,999.96 - USD$129,999.96 Per Annum (paid Monthly)",114999.96,129999.96,95833.3,108333.3,102083.3
V6E6R4,45,KYD,Per Hour,"KYD$46,800 - KYD$58,500 Per Annum (paid Per Hour)",46800,58500,46800,58500,52650
V6G5D2,45,KYD,Per Month,"KYD$1,365 - KYD$1,776.45 Monthly",16380,21317.4,16380,21317.4,18848.7
V7C2A6,40,KYD,Per Hour,KYD$6 - KYD$8 Per Hour (paid Per Hour),12480,16640,12480,16640,14560
V8T4T4,45,KYD,Per Hour,KYD$10 - KYD$12 Per Hour (paid Per Hour) + gratuities,23400,28080,23400,28080,25740
W2P3Y7,45,KYD,Per Week,KYD$450 - KYD$630 Weekly,23400,32760,23400,32760,28080
W4F4H7,45,KYD,Bi-Weekly,"KYD$42,120 - KYD$51,480 Per Annum (paid Bi-Weekly)",42120,51480,42120,51480,46800
W4J5M6,40,KYD,Per Week,KYD$9 - KYD$13 Per Hour (paid Weekly),18720,27040,18720,27040,22880
W4P5N8,45,KYD,Per Day,"KYD$63,180 - KYD$86,580 Per Annum (paid Per Day)",63180,86580,63180,86580,74880
W4T2N2,40,KYD,Per Hour,KYD$6 - KYD$7 Per Hour (paid Per Hour),12480,14560,12480,14560,13520
W5E4V3,40,USD,Per Month,"USD$7,500 - USD$9,583.33 Monthly",90000,114999.96,75000,95833.3,85416.65
W5G2J4,40,KYD,Per Month,"KYD$123,000 - KYD$126,000 Per Annum (paid Monthly)",123000,126000,123000,126000,124500
W7X5X3,45,KYD,Per Hour,KYD$8 - KYD$10 Per Hour (paid Per Hour) + gratuities,18720,23400,18720,23400,21060
X2R2H3,45,KYD,Per Month,"KYD$35,989.2 - KYD$47,993.4 Per Annum (paid Monthly)",35989.2,47993.4,35989.2,47993.4,41991.3
X4G4K5,45,KYD,Bi-Monthly,"KYD$975 - KYD$1,316.25 Bi-Monthly (paid Bi-Monthly)",23400,31590,23400,31590,27495
X5H4F2,45,KYD,Per Month,"KYD$3,500 - KYD$5,000 Monthly",42000,60000,42000,60000,51000
X5Q6U7,45,KYD,Per Week,"KYD$23,985 - KYD$33,017.4 Per Annum (paid Weekly)",23985,33017.4,23985,33017.4,28501.2
X7C2X8,45,KYD,Per Week,KYD$10.5 - KYD$14.46 Per Hour (paid Weekly),24570,33836.4,24570,33836.4,29203.2
X7F6M2,45,KYD,Per Month,KYD$9 Per Hour (paid Monthly),21060,21060,21060,21060,21060
Y2B7D6,45,KYD,Per Month,"KYD$23,400 - KYD$28,080 Per Annum (paid Monthly)",23400,28080,23400,28080,25740
Y4T4X6,45,KYD,Per Month,KYD$20 - KYD$40 Per Hour (paid Monthly),46800,93600,46800,93600,70200
Y5K4R2,40,KYD,Per Week,KYD$480 - KYD$560 Weekly,24960,29120,24960,29120,27040
Y5R8C3,40,KYD,Per Month,"KYD$4,000 - KYD$5,000 Monthly",48000,60000,48000,60000,54000
Y6D3B7,45,USD,Per Hour,USD$13 - USD$15 Per Hour (paid Per Hour) + gratuities,30420,35100,25350,29250,27300
Y7Q4T5,45,KYD,Per Hour,"KYD$23,985 - KYD$33,017.4 Per Annum (paid Per Hour)",23985,33017.4,23985,33017.4,28501.2
Y8B3U7,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly) + gratuities,14040,18720,14040,18720,16380
C2H4F4,45,KYD,Per Day,KYD$150 - KYD$215 Per Day (paid Per Day),39000,55900,39000,55900,47450
F2A8S8,40,KYD,Per Month,"KYD$14,393.6 Per Annum (paid Monthly)",14393.6,14393.6,14393.6,14393.6,14393.6
F2D7Y6,45,KYD,Per Hour,KYD$6 - KYD$12 Per Hour (paid Per Hour) + gratuities,14040,28080,14040,28080,21060
F4V4W7,45,KYD,Per Hour,KYD$8 - KYD$12 Per Hour (paid Per Hour) + gratuities,18720,28080,18720,28080,23400
F7P3G8,40,KYD,Per Hour,"KYD$12,480 - KYD$14,560 Per Annum (paid Per Hour)",12480,14560,12480,14560,13520
H4F3C3,40,KYD,Per Hour,"KYD$11,440 - KYD$12,480 Per Annum (paid Per Hour) + gratuities",11440,12480,11440,12480,11960
J2Q7F2,40,KYD,Per Month,"KYD$14,400 Per Annum (paid Monthly)",14400,14400,14400,14400,14400
J3T6Y7,40,KYD,Per Hour,"KYD$11,440 - KYD$12,480 Per Annum (paid Per Hour) + gratuities",11440,12480,11440,12480,11960
M3E4B4,45,KYD,Per Day,KYD$105 - KYD$175 Per Day (paid Per Day),27300,45500,27300,45500,36400
P4Y8Q4,45,KYD,Per Hour,KYD$4.5 - KYD$8 Per Hour (paid Per Hour) + gratuities,10530,18720,10530,18720,14625
Q2A2A8,45,KYD,Per Day,KYD$145 - KYD$190 Per Day (paid Per Day),37700,49400,37700,49400,43550
S3Y6K5,40,KYD,Per Hour,"KYD$12,480 - KYD$14,560 Per Annum (paid Per Hour)",12480,14560,12480,14560,13520
S8A7Q4,45,KYD,Per Week,KYD$6 Per Hour (paid Weekly),14040,14040,14040,14040,14040
S8N6P5,45,KYD,Per Hour,KYD$5 - KYD$7 Per Hour (paid Per Hour) + gratuities,11700,16380,11700,16380,14040
E5U5F3,44,KYD,Per Month,"KYD$1,900 - KYD$2,288 Monthly",22800,27456,22800,27456,25128
F3H3S6,45,KYD,Per Hour,"KYD$10,530 - KYD$14,040 Per Annum (paid Per Hour) + gratuities",10530,14040,10530,14040,12285
K2Q8U8,45,KYD,Per Month,"KYD$18,720 - KYD$21,060 Per Annum (paid Monthly)",18720,21060,18720,21060,19890
K7E8M3,44,KYD,Bi-Monthly,"KYD$1,144 - KYD$1,525.33 Monthly (paid Bi-Monthly)",13728,18304,13728,18304,16016
P4F6X4,45,KYD,Per Hour,"KYD$11,700 - KYD$16,380 Per Annum (paid Per Hour) + gratuities",11700,16380,11700,16380,14040
V5U6T6,45,KYD,Per Month,"KYD$2,500 - KYD$3,000 Monthly",30000,36000,30000,36000,33000
X6X5B8,45,KYD,Per Hour,"KYD$15,561 - KYD$18,720 Per Annum (paid Per Hour) + gratuities",15561,18720,15561,18720,17140.5
A2M7Q3,45,KYD,Per Week,KYD$11.85 - KYD$16.31 Per Hour (paid Weekly),27729,38165.4,27729,38165.4,32947.2
A7E5T6,45,KYD,Per Month,"KYD$16,380 - KYD$21,060 Per Annum (paid Monthly)",16380,21060,16380,21060,18720
A7J4M2,45,KYD,Per Hour,KYD$6 - KYD$10 Per Hour (paid Per Hour),14040,23400,14040,23400,18720
A7V7M6,45,KYD,Per Hour,"KYD$10,530 - KYD$15,210 Per Annum (paid Per Hour) + gratuities",10530,15210,10530,15210,12870
A8S4K8,44,KYD,Per Month,"KYD$2,500 - KYD$3,000 Monthly",30000,36000,30000,36000,33000
B3N7B2,45,KYD,Per Month,KYD$7.78 Per Hour (paid Monthly),18205.2,18205.2,18205.2,18205.2,18205.2
B5V2R6,40,KYD,Per Hour,"KYD$12,480 - KYD$14,560 Per Annum (paid Per Hour)",12480,14560,12480,14560,13520
B5X2G8,45,KYD,Bi-Weekly,KYD$13 Per Hour (paid Bi-Weekly),30420,30420,30420,30420,30420
B6F5K8,45,KYD,Per Week,KYD$10.25 - KYD$14.11 Per Hour (paid Weekly),23985,33017.4,23985,33017.4,28501.2
C5D2V5,35,USD,Per Month,"USD$100,009 - USD$115,005.8 Per Annum (paid Monthly)",100009,115005.8,83340.83,95838.17,89589.5
C8E4G6,45,KYD,Per Week,"KYD$32,760 - KYD$46,800 Per Annum (paid Weekly)",32760,46800,32760,46800,39780
C8T6A2,40,KYD,Per Month,"KYD$175,000 - KYD$200,000 Per Annum (paid Monthly)",175000,200000,175000,200000,187500
D2F5B6,45,KYD,Per Hour,KYD$6 - KYD$10 Per Hour (paid Per Hour) + gratuities,14040,23400,14040,23400,18720
D4B7N6,45,KYD,Per Month,"KYD$1,600 - KYD$2,000 Monthly",19200,24000,19200,24000,21600
D6X4X4,45,USD,Bi-Weekly,"USD$55,000 - USD$65,000 Per Annum (paid Bi-Weekly)",55000,65000,45833.33,54166.67,50000
D8N6U4,45,KYD,Bi-Weekly,"KYD$2,000 - KYD$4,500 Bi-Weekly (paid Bi-Weekly) + gratuities",52000,117000,52000,117000,84500
E2D6R2,45,USD,Per Month,"USD$85,000 - USD$99,000 Per Annum (paid Monthly)",85000,99000,70833.33,82500,76666.67
E3N2B3,45,KYD,Per Month,"KYD$300,011.4 - KYD$319,995 Per Annum (paid Monthly)",300011.4,319995,300011.4,319995,310003.2
E4X6Y7,45,KYD,Per Month,"KYD$60,000 - KYD$75,000 Per Annum (paid Monthly)",60000,75000,60000,75000,67500
E6N2H3,45,KYD,Bi-Weekly,KYD$8 - KYD$11 Per Hour (paid Bi-Weekly),18720,25740,18720,25740,22230
E6R8T5,40,KYD,Per Week,"KYD$1,200 Weekly",62400,62400,62400,62400,62400
E7P4E7,45,KYD,Per Month,KYD$270 Weekly (paid Monthly),14040,14040,14040,14040,14040
E7R7A3,45,KYD,Per Month,"KYD$40,000 - KYD$55,000 Per Annum (paid Monthly)",40000,55000,40000,55000,47500
E7S4M8,45,KYD,Per Week,"KYD$500 - KYD$1,000 Weekly  + gratuities",26000,52000,26000,52000,39000
F2D8H6,45,KYD,Per Week,"KYD$16,965 - KYD$23,985 Per Annum (paid Weekly)",16965,23985,16965,23985,20475
F2K6S2,45,KYD,Per Month,KYD$6 - KYD$7 Per Hour (paid Monthly),14040,16380,14040,16380,15210
F5B5K4,40,KYD,Bi-Weekly,KYD$10 - KYD$12 Per Hour (paid Bi-Weekly),20800,24960,20800,24960,22880
F5E4T2,45,KYD,Bi-Monthly,"KYD$1,700 - KYD$2,000 Monthly (paid Bi-Monthly)",20400,24000,20400,24000,22200
G2F2B7,45,KYD,Per Hour,KYD$10 - KYD$12 Per Hour (paid Per Hour) + gratuities,23400,28080,23400,28080,25740
G2X4D4,45,KYD,Bi-Weekly,"KYD$1,600 - KYD$3,600 Bi-Weekly (paid Bi-Weekly) + gratuities",41600,93600,41600,93600,67600
G3J6J8,45,KYD,Per Month,"KYD$2,925 Monthly",35100,35100,35100,35100,35100
G3Q5J7,40,KYD,Per Hour,KYD$6 - KYD$8 Per Hour (paid Per Hour),12480,16640,12480,16640,14560
G6W8F2,45,KYD,Per Week,KYD$350.1 - KYD$599.85 Weekly,18205.2,31192.2,18205.2,31192.2,24698.7
G6X2U8,45,KYD,Bi-Weekly,KYD$6 - KYD$8 Per Hour (paid Bi-Weekly),14040,18720,14040,18720,16380
G8M7J2,45,KYD,Per Hour,KYD$10 - KYD$16 Per Hour (paid Per Hour) + gratuities,23400,37440,23400,37440,30420
H2G3E3,45,KYD,Per Hour,KYD$10 - KYD$18 Per Hour (paid Per Hour) + gratuities,23400,42120,23400,42120,32760
H2V6K4,45,KYD,Bi-Weekly,"KYD$1,500.3 - KYD$1,749.6 Bi-Weekly (paid Bi-Weekly)",39007.8,45489.6,39007.8,45489.6,42248.7
H4Y8B6,45,KYD,Bi-Weekly,"KYD$23,400 - KYD$46,800 Per Annum (paid Bi-Weekly)",23400,46800,23400,46800,35100
H7J6P4,45,KYD,Per Month,"KYD$23,400 - KYD$28,080 Per Annum (paid Monthly)",23400,28080,23400,28080,25740
H7M5U8,45,KYD,Per Week,"KYD$23,985 - KYD$33,017.4 Per Annum (paid Weekly)",23985,33017.4,23985,33017.4,28501.2
H8N4Q4,45,KYD,Per Month,"KYD$45,000 - KYD$60,000 Per Annum (paid Monthly)",45000,60000,45000,60000,52500
H8Y6H4,45,KYD,Per Hour,KYD$6 - KYD$8 Per Hour (paid Per Hour) + gratuities,14040,18720,14040,18720,16380
J2P4V7,45,KYD,Per Week,KYD$5 - KYD$9.5 Per Hour (paid Weekly) + gratuities,11700,22230,11700,22230,16965
J2V5X4,45,USD,Per Month,"USD$300,000 - USD$320,000 Per Annum (paid Monthly)",300000,320000,250000,266666.67,258333.33
J3C3R8,45,KYD,Per Week,KYD$13 - KYD$18 Per Hour (paid Weekly) + gratuities,30420,42120,30420,42120,36270
J4J7T5,45,KYD,Per Month,"KYD$55,000 - KYD$72,000 Per Annum (paid Monthly)",55000,72000,55000,72000,63500
